bank,no,komponen_otomatis,kalimat_tanya_yang_dinilai,komponen_koreksi_manual
kardio-2023,24,Recall,apa nama jaringan ikat yang dimaksud?,
kardio-2023,25,Recall,kadar lipoprotein a / lp (a) yang tinggi (>25 mg/dl) akan meningkatkan risiko penyakit jantung karena :,
kardio-2023,26,Pharmacology,pilihan obat golongan statin yang paling tepat adalah?,
kardio-2023,27,Diagnostics,mana kombinasi penyadapan ekg jika ingin melihat dinding lateral jantung?,
kardio-2023,28,Anatomy,berikut ini tipe pembuluh darah yang menentukan pertukaran nutrisi dan sel darah merah ke jaringan?,
kardio-2023,29,Recall,mana dari hal berikut ini dapat diduga akan menurunkan tekanan darah?,
kardio-2023,30,Physiology,awal patofisiologi aterosklerosis dimulai dari?,
kardio-2023,31,Pharmacology,konsumsi obat antiaritmia disangkal. obat apa untuk pasien?,
kardio-2023,32,Diagnostics,"ditemukan hasil foto thorax pinggang jantung menonjol, apex tertanam, aorta dilatasi, dan elongasi. diagnosis?",
kardio-2023,33,Recall,"berdasarkan nilai-nilai tersebut, berapakah nilai stroke volumenya?",
kardio-2023,34,Recall,pernyataan yang benar tentang anastomosis arteriovenosus adalah?,
kardio-2023,35,Anatomy,cabang dari truncus costocervicalis adalah?,
kardio-2023,36,Pharmacology,efek samping yang harus dicegah berdasarkan peningkatan toksisitas digoksin akibat furosemide?,
kardio-2023,37,Recall,in golf bersama temannya suatu saat pak budi cek kesehatan ke posyandu dan didapatkan td 150/90 dari skenario kegiatan pak budi termasuk ke dalam aktifitas apa?,
kardio-2023,38,Recall,"berdasarkan tabel estimasi risiko kardiovaskular non-laboratorium who/ish, termasuk tingkat risiko kardiovaskular apa pasien tersebut?",
kardio-2023,39,Pharmacology,apa saja obat first line menurut jnc-8 untuk hipertensi?,
kardio-2023,40,Diagnostics,apa kesan/ diagnosis dari foto thorax pasien tersebut?,
kardio-2023,41,Anatomy,"pada skenario oklusi vena cava superior, vena mana yang bermuara langsung ke vena yang mengalami kelainan/oklusi tersebut?",
kardio-2023,42,Physiology,apa patofisiologi utama dari fenomena raynaud (perubahan warna pucat dan kebiruan pada jari)?,
kardio-2023,43,Pharmacology,berdasarkan pandangan mazhab mana hukum tersebut?,
kardio-2023,44,Diagnostics,apa kemungkinan diagnosis kondisi ini?,
kardio-2023,45,Diagnostics,"sebagai dokter, pemeriksaan laboratorium spesifik apa yang perlu dilakukan?",
kardio-2023,46,Physiology,kelainan kongenital akibat kegagalan penutupan/penyambungan saluran pembuluh darah janin pasca lahir adalah?,
kardio-2023,47,Pharmacology,apa obat hipertensi/diuretik yang dapat menyebabkan gangguan hiperkalemia tersebut?,
kardio-2023,48,Diagnostics,bagaimanakah interpretasi tekanan darah pada pasien tersebut?,
kardio-2023,49,Diagnostics,bagaimana interpretasi dari kondisi pasien tersebut yang menjadi faktor risiko aterosklerosis?,
kardio-2023,50,Pharmacology,"pada pasien dengan riwayat penyakit jantung dan kolesterol disarankan untuk menghindari konsumsi diet lemak yang tidak baik, seperti:",
kardio-2023,51,Physiology,apa etiologi/pemicu vaskulitis yang paling sering dikaitkan pada kasus ini?,
kardio-2023,52,Pharmacology,obat antihipertensi pilihan utama apa yang sebaiknya diberikan pada pasien ini?,
kardio-2023,53,Diagnostics,komplikasi utama dari murmur pansistolik ics 3 linea sternalis sinistra (akibat ventricular septal defect / vsd) adalah?,
kardio-2023,54,Anatomy,perikardium fibrosum melekat rapat pada bagian bawah struktur anatomi apa?,
kardio-2023,55,Diagnostics,apa diagnosis kelainan pasien tersebut?,
kardio-2023,56,Pharmacology,apa hal yang wajib digali dalam anamnesis sebelum memberikan obat golongan nitrat?,
kardio-2023,57,Histology,gambaran histopatologi jantung penderita tersebut akan menunjukkan?,
kardio-2023,58,Diagnostics,diagnosis ekg tersebut adalah?,
kardio-2023,59,Recall,katup yang mencegah aliran darah balik dari ventrikel kiri ke atrium sinistrum adalah?,
kardio-2023,60,Diagnostics,biomarker spesifik terbaik untuk memprediksi partikel aterogenik dan risiko aterosklerosis adalah?,
kardio-2023,61,Physiology,kondisi apa yang terjadi jika sistem saraf simpatis lebih dominan terhadap regulasi jantung?,
kardio-2023,62,Pharmacology,pemeriksaan non-lipid inflamasi yang dianjurkan untuk stratifikasi risiko vaskular adalah:,
kardio-2023,63,Recall,berikut adalah kedudukan/fungsi qalbu pada diri manusia yang dideskripsikan oleh al-qur an?,
kardio-2023,64,Physiology,saluran tersebut setelah menutup/obliterasi dinamakan?,
kardio-2023,65,Recall,pelayanan wajib apa yang dimaksud?,
kardio-2023,66,Diagnostics,pemeriksaan apa yang dimaksud?,
kardio-2023,67,Pharmacology,bagaimanakah mekanisme kerja obat tersebut untuk menurunkan kadar ldl cholesterol?,
kardio-2023,68,Diagnostics,apa diagnosis yang paling mungkin pada pasien ini?,
kardio-2023,69,Diagnostics,pemeriksaan penunjang utama apa yang harus dilakukan untuk menilai komplikasi jantung?,
kardio-2023,70,Diagnostics,"berdasarkan kriteria jones, apa kriteria yang ditemukan pada pasien ini?",
kardio-2023,71,Diagnostics,apa derajat klasifikasi nyha dan aha stage pasien tersebut?,
kardio-2023,72,Diagnostics,apa komplikasi vaskular utama yang paling ditakutkan?,
kardio-2023,73,Pharmacology,obat dyslipidemia mana yang paling aman dan sesuai?,
kardio-2023,74,Pharmacology,bagaimanakah mekanisme kerja obat tersebut?,
kardio-2023,75,Physiology,berapakah nilai mean arterial pressure (map) pasien tersebut?,
kardio-2023,76,Recall,hal apa yang wajib ditanyakan sebelum pemberian vasodilator nitrat?,
kardio-2023,77,Diagnostics,pemeriksaan baku apa yang dilakukan untuk konfirmasi kausal mikrobiologi?,
kardio-2023,78,Diagnostics,kesan diagnosis foto thorax adalah?,
kardio-2023,79,Anatomy,pada tepi/sisi anatomi permukaan jantung mana pembuluh darah tersebut berjalan?,
kardio-2023,80,Pharmacology,tatalaksana farmakologis awal yang tepat untuk mengurangi hyperpnea dan relaksasi infundibulum adalah?,
kardio-2023,81,Diagnostics,kesan radiologi pasien ini adalah?,
kardio-2023,82,Pharmacology,saran penggunaan obat yang benar adalah?,
kardio-2023,83,Pharmacology,golongan antiaritmia yang paling aman diberikan adalah?,
kardio-2023,84,Diagnostics,"berdasarkan gambaran ekg dengan jarak antar kompleks qrs (r-r interval) sepanjang 4 kotak besar, berapakah frekuensi denyut jantung (heart rate) pasien?",
kardio-2023,85,Diagnostics,diagnosis yang tepat adalah?,
kardio-2023,86,Diagnostics,apa diagnosis penderita tersebut?,
kardio-2023,87,Recall,"berikut adalah kedudukan/fungsi qalbu pada diri manusia yang dideskripsikan dalam al-qur an, kecuali?",
kardio-2023,88,Anatomy,kelainan anatomis utama apa yang melatarbelakangi berkurangnya vaskularisasi paru ini?,
kardio-2023,89,Diagnostics,"berdasarkan kriteria jones, temuan pada pasien ini adalah?",
kardio-2023,90,Pharmacology,saran yang tepat untuk mencegah interaksi kedua obat adalah?,
kardio-2023,91,Pharmacology,mana golongan obat antihipertensi yang merupakan lini pertama menurut panduan jnc-8?,
kardio-2023,92,Physiology,kondisi gangguan elektrolit apa yang harus dicegah akibat furosemide karena meningkatkan toksisitas digoksin?,
kardio-2023,93,Diagnostics,first line drugs untuk hipertensi tanpa komplikasi menurut panduan jnc-8 adalah?,
kedkel-2018,1,Pharmacology,bila merujuk pada rum maka tidakan dokter dianggap tidak rasional karena ?,
kedkel-2018,2,Pharmacology,"apa nama sediaan obat cair yang mengandung air, minyak dan zat pengemulsi, sifatnya homogen dan digunakan untuk pemakaian dalam (ditelan)?",
kedkel-2018,3,Pharmacology,bagaimanakah strategi penatalaksanaan pasien dengan pendekatan dokter keluarga?,
kedkel-2018,4,Pharmacology,mana sediaan obat di bawah ini yang tidak perlu steril?,
kedkel-2018,5,Recall,berikut ini bukan merupakan argumentasi teoritik menyangkut perilaku manusia menurut madzhab klasik:,
kedkel-2018,6,Recall,"berikut ini, dari berbagai perspektif penjelasan perilaku manusia, maka perilaku dengan sengaja menularkan virus merupakan:",
kedkel-2018,7,Diagnostics,berikut yang bukan merupakan syarat sebuah tes skrining yang baik adalah ?,
kedkel-2018,8,Pharmacology,cara menyampaikan usulan obat agar bisa masuk ke doen,
kedkel-2018,9,Pharmacology,"daftar obat esensial sangat diperlukan untuk, kecuali:",
kedkel-2018,10,Pharmacology,"dalam memilih obat esensial, diperlukan pertimbangan sebagai berikut:",
kedkel-2018,11,Recall,"dalam surat al-baqarah ayat 256, dijelaskan bahwa telah jelas jalan yang benar daripada jalan yang salah, oleh karenanya maka:",
kedkel-2018,12,Recall,"an berkesinambungan (achir yani syuhaimi hamid dan kawan-kawan, 2018) dimulai dari fasilitas kesehatan/ ppk (pemberi pelayanan kesehatan) tingkat i berikut ini:",
kedkel-2018,13,Recall,"di saat pandemi covid 19, salah satu tugas yang dapat dikerjakan oleh dokter keluarga adalah pemeriksaan secara :",
kedkel-2018,14,Recall,"diantara faktor penyebab perilaku menyimpang ialah, kecuali:",
kedkel-2018,15,Recall,"dari 10 aspek penilaian phbs, kategori phbs keluarga tersebut termasuk baik jika:",
kedkel-2018,16,Recall,hal ini disebut pelayanan :,
kedkel-2018,17,Recall,dokter cesare lombroso (1835-1909) pelopor madzhab positivis menerangkan perilaku manusia berdasarkan dalil-dalil berikut ini:,
kedkel-2018,18,Recall,"dokter keluarga di indonesia sebagai salah satu fungsi pelayanan nya, diminta oleh bpjs, karena dokter keluarga dalam pelayanannya meliputi:",
kedkel-2018,19,Recall,gangguan mental dan neurologis yang paling banyak pada kelompok lansia adalah:,
kedkel-2018,20,Recall,home visit dan home care dilakukan diantaranya untuk:,
kedkel-2018,21,Recall,"investasi asuransi syariah yang diharamkan ialah, kecuali:",
kedkel-2018,22,Recall,"keadaan pada lansia yang sering mengeluhkan kesulitan buang air besar, termasuk kedalam syndrom geriatri:",
kedkel-2018,23,Recall,keadaan yang paling sering dikaitkan dengan kejadian demensia pada lansia adalah:,
kedkel-2018,24,Recall,kegiatan home visit yang dapat dilakukan diantaranya:,
kedkel-2018,25,Recall,kegiatan palliative care yang dapat dilakukan diantaranya:,
kedkel-2018,26,Diagnostics,kemampuan tes untuk menunjukan individu mana yang sakit dari seluruh populasi yang benar - benar sakit pada pemeriksaan uji diagnostik disebut sebagai ?,
kedkel-2018,27,Pharmacology,bentuk sediaan obat yang cocok adalah sediaan obat cair berupa sirup dengan diteteskan. apa alasannya?,
kedkel-2018,28,Recall,"komunikasi efektif merupakan bagian dari, hubungan dokter pasien, tahapan penting saat awal komunikasi efektif adalah:",
kedkel-2018,29,Pharmacology,mana yang sesuai dengan kaidah pengobatan rasional ?,
kedkel-2018,30,Recall,masalah apa yang harus digali dari aspek personal dalam diagosis holistik?,
kedkel-2018,31,Recall,dari kasus diatas apa yang paling mungkin terjadi pada pasien tersebut?,
kedkel-2018,32,Diagnostics,untuk menegakan diagnosa pertanyaan apa yang paling tidak perlu diberikan ?,
kedkel-2018,33,Pharmacology,proses mana dibawah ini yang akan dijalani pasien dalam konseling?,
kedkel-2018,34,Pharmacology,apa yang akan dijalani pasien dalam proses alternatif pemecahan masalah dalam konseling?,
kedkel-2018,35,Recall,mana dibawah ini yang bukan menjadi prinsip dalam definisi konseling menurut who?,
kedkel-2018,36,Recall,apa yang dirasakan oleh pasien?,
kedkel-2018,37,Recall,dimanakah posisi pasien dalam kuadran sakit dan penyakit?,
kedkel-2018,38,Pharmacology,apa yang mempengaruhi perilaku pencarian pengobatan pasien pada kasus diatas?,
kedkel-2018,39,Pharmacology,bagaimanakah rencana strategis penatalaksanaan pasien di atas ?,
kedkel-2018,40,Pharmacology,mana jawaban yang sesuai dengan pernyataan di atas?,
kedkel-2018,41,Pharmacology,"pada penyusunan daftar obat esensial nasional (doen), tim ahli bertugas:",
kedkel-2018,42,Recall,"para ulama mengharamkan asuransi konvensional karena mengandung unsur, kecuali :",
kedkel-2018,43,Pharmacology,kelebihan bentuk sediaan tersebut adalah:,
kedkel-2018,44,Recall,termasuk factor apa kondisi kamar pasien pada kasus di atas dalam tinjauan pengaruh lingkungan terhadap timbulnya sakit?,
kedkel-2018,45,Pharmacology,"pasien diberikan tablet sustained release teofilin, kelebihan tablet tersebut adalah:",
kedkel-2018,46,Recall,pada tahun 2004 disusun kurikulum berbasis kompetensi diseluruh wilayah indonesia dan semua fk menghasilkan lulusan dokter:,
kedkel-2018,47,Recall,peluang bekerja bagi dokter di perusahaan asuransi jiwa syariah ialah terutama di bidang:,
kedkel-2018,48,Pharmacology,penatalaksanaan pasien dengan pendekatan kedokteran keluarga berarti ?,
kedkel-2018,49,Recall,pengertian anomi ialah:,
kedkel-2018,50,Recall,prinsip akad asuransi syariah ialah:,
kedkel-2018,51,Recall,"puyer (pulveres) yang dibuat/disediaan untuk pasien harus halus dan homogen, pernyataan yang tidak benar dari pembuatan bentuk sediaan tersebut adalah :",
kedkel-2018,52,Recall,"resiko bagi orang yang berumur panjang ialah, kecuali:",
kedkel-2018,53,Pharmacology,hal apa yang dilihat untuk menilai keamanan tersebut?,
kedkel-2018,54,Recall,salah satu prinsip layanan dokter keluarga adalah mengidentifikasi dan menentukan masalah kesehatan pasien dari berbagai aspek. hal ini disebut dengan ?,
kedkel-2018,55,Recall,apa tujuan dibuat dalam bentuk dry syrup?,
kedkel-2018,56,Recall,"at rumahnya, setelah selesai pasien kecewa kepada dokternya, karena saat konsultasi ia bolak balik menerima telpon, kekecewaan pasien tersebut dapat dikatakan :",
kedkel-2018,57,Recall,mana yang merupakan risiko internal pada kasus tersebut?,
kedkel-2018,58,Diagnostics,"untuk memastikan apa penyakit ini merupakan penyakit keturunan atau bukan, maka dokter keluarga melakukan:",
kedkel-2018,59,Pharmacology,terapi di atas tidak rasional karena ?,
kedkel-2018,60,Pharmacology,terapi seperti ini dikategorikan sebagai terapi?,
kedkel-2018,61,Diagnostics,apa diagnosis pasien ini menurut diagnosis holistik?,
kedkel-2018,62,Diagnostics,"sebagai dokter keluarga, apa yang harus ditanyakan kepada pasien untuk mengetahui risiko internal?",
kedkel-2018,63,Recall,apa distorsi kognitif pada pasien ini?,
kedkel-2018,64,Recall,fase cbt apa yang sedang dijalani pasien ini?,
kedkel-2018,65,Pharmacology,fase cbt apa yang sedang dijalani pasien ini?,
kedkel-2018,66,Recall,reaksi tersebut merupakan tahapan mana dalam breaking bad news (kübler-ross)?,
kedkel-2018,67,Recall,"r diri sendiri sehingga bebas dari berbagai tekanan, baik berasal dalam diri maupun di luar diri, merupakan seorang lansia yang telah dapat memenuhi kebutuhan :",
kedkel-2018,68,Recall,"seorang mu min ketika berbuat dosa, maka kalbunya bagaikan diteteskan :",
kedkel-2018,69,Pharmacology,tujuan pemberian bentuk sediaan tersebut adalah :,
kedkel-2018,70,Recall,apa tipe keluarga pada kasus ini?,
kedkel-2018,71,Recall,apa solusi yang akan ditawarkan oleh terapis dalam kasus tersebut?,
kedkel-2018,72,Pharmacology,bentuk sediaan obat yang diberikan intravaginal adalah:,
kedkel-2018,73,Recall,mana alasan yang paling tepat untuk dokter melakukan hal tersebut?,
kedkel-2018,74,Recall,penggunaan masker sebagai apd pada pekerja pabrik sepatu berfungsi menekan faktor pajanan paparan bahaya apa?,
kedkel-2018,75,Diagnostics,"jika dokter perusahaan akan membuat laporan diagnosis okupasi, mana dibawah ini yang akan dicantumkan dalam tindakan preventif ?",
kedkel-2018,76,Diagnostics,"jika dokter perusahaan akan membuat laporan diagnosis okupasi, data apa yang dapat mendukung?",
kedkel-2018,77,Diagnostics,mana dibawah ini yang merupakan komponen urutan dari 7 langkah penegakan diagnosis penyakit akibat kerja (pak)?,
kedkel-2018,78,Pharmacology,mana pernyataan keberhasilan konseling yang paling tepat dibawah ini?,
kedkel-2018,79,Pharmacology,apa tujuan yang paling tepat untuk konseling lanjutan yang dilakukan oleh pasien psikostres tersebut?,
kedkel-2018,80,Recall,dalam menentang ajaran allah ialah berupa (qs nuh 71:7):,
kedkel-2018,81,Recall,sindrom geriatrik yang dialami seorang lansia dengan perasaan cemas terus-menerus akibat tidak mempunyai penghasilan disebut,
kedkel-2018,82,Diagnostics,"suatu uji diagnostik dinyatakan positif palsu (false positive), jika ?",
kedkel-2018,83,Pharmacology,suatu obat dapat diusulkan untuk dimasukkan sebagai obat esensial apabila:,
kedkel-2018,84,Pharmacology,tahap uji klinis yang dilakukan untuk melihat efektifitas suatu pengobatan pada kelompok manusia sakit adalah ?,
kedkel-2018,85,Recall,mana dari kondisi sanitasi berikut di bawah yang tidak memenuhi syarat kesehatan?,
kedkel-2018,86,Recall,mana pernyataan dibawah ini yang tidak benar mengenai prinsip ukk?,
kedkel-2018,87,Recall,mana yang menjadi persyaratan utama pembentukan pos ukk bagi kelompok pekerja informal/pabrik?,
kedkel-2018,88,Recall,tahapan pembentukan pos ukk yang sistematis adalah :,
kedkel-2018,89,Recall,mana pernyataan di bawah ini yang paling tepat dari kacamata sosiologi hukum?,
kedkel-2018,90,Recall,pada tingkatan adiksi mana pria tersebut saat ini?,
kedkel-2018,91,Recall,apa tindakan yang wajib dilakukan bagi pengguna zat napza/ekstasi tersebut?,
kedkel-2018,92,Recall,"dalam perencanaan intervensi edukasi minggu depan di klinik, siapakah yang menjadi sasaran kegiatan edukasi dokter keluarga?",
